2Pt_Field_Goal_Attempts,2PA,Fg2PtAtt
2Pt_Field_Goals_Made,2PM,Fg2PtMade
3Pt_Field_Goal_Attempts,3PA,Fg3PtAtt
3Pt_Field_Goals_Made,3PM,Fg3PtMade
Total_Field_Goal_Attempts,FGA,FgAtt
Total_Field_Goals_Made,FGM,FgMade
Free_Throw_Attempts,FTA,FtAtt
Free_Throws_Made,FTM,FtMade
Offensive_Rebounds,OREB,OffReb
Defensive_Rebounds,DREB,DefReb
Total_Rebounds,REB,Reb
Assists,AST,Ast
Points,PTS,Pts
Turnovers,TOV,Tov
Steals,STL,Stl
Blocks,BS,Blk
Blocks_Against,BA,BlkAgainst
Personal_Fouls,PF,FoulPers
Plus/Minus,+/-,PlusMinus
Minutes_Played,MIN,MinSeconds
